Date,Open,High,Low,Close,Adj Close,Volume
2025-03-31,153.11,155.54,150.66,154.64,154.11,54603500
2025-03-28,160.49,161.82,153.63,154.33,153.80,48669300
2025-03-27,164.63,165.42,162.00,162.24,161.68,24508300
2025-03-26,169.00,169.61,164.84,165.06,164.49,28901600
2025-03-25,168.98,170.63,168.32,170.56,169.97,24174400
2025-03-24,167.07,168.32,165.14,167.68,167.10,30879100
2025-03-21,161.21,164.24,160.89,163.99,163.42,36625800
2025-03-20,161.57,164.89,160.96,162.80,162.24,28138500
2025-03-19,161.76,165.87,161.00,163.89,163.32,34275600
2025-03-18,163.68,164.25,156.72,160.67,160.11,42074800
2025-03-17,165.03,166.30,163.67,164.29,163.72,31184300
2025-03-14,163.27,166.49,162.45,165.49,164.92,31995900
2025-03-13,166.04,166.13,162.11,162.76,162.20,31756200
2025-03-12,166.58,167.64,163.53,167.11,166.53,28372400
2025-03-11,164.91,166.75,161.37,164.04,163.47,39587400
2025-03-10,168.26,168.46,163.69,165.87,165.30,43604000
2025-03-07,171.26,174.97,170.27,173.86,173.06,27385800
2025-03-06,170.53,174.81,170.50,172.35,171.56,28302000
2025-03-05,170.52,173.78,169.06,173.02,172.22,30954900
2025-03-04,166.24,173.29,165.80,170.92,170.13,45388000
2025-03-03,171.93,173.37,165.93,167.01,166.24,40770500
2025-02-28,168.68,170.61,166.77,170.28,169.50,48130600
2025-02-27,173.99,174.56,167.94,168.50,167.72,39991000
2025-02-26,175.07,176.08,171.58,172.73,171.94,35431300
2025-02-25,178.04,178.74,174.69,175.42,174.61,41913400
2025-02-24,181.99,183.12,178.89,179.25,178.43,29854200
2025-02-21,185.15,185.34,179.08,179.66,178.83,35199200
2025-02-20,184.80,185.31,182.72,184.56,183.71,20441500
2025-02-19,184.07,185.46,183.59,185.27,184.42,19549400
2025-02-18,185.60,185.96,181.74,183.77,182.92,29916700
2025-02-14,185.06,186.40,184.32,185.23,184.38,20448400
2025-02-13,184.32,186.28,183.14,186.14,185.28,21402500
2025-02-12,183.22,185.11,181.83,183.61,182.77,22072600
2025-02-11,185.03,186.94,184.28,185.32,184.47,21239500
2025-02-10,187.35,188.20,185.86,186.47,185.61,23105600
2025-02-07,191.05,191.18,183.24,185.34,184.49,49315000
2025-02-06,189.50,192.10,188.72,191.60,190.72,29297400
2025-02-05,191.07,192.75,188.03,191.33,190.45,70373900
2025-02-04,203.39,207.05,202.81,206.38,205.43,43856400
2025-02-03,200.69,203.75,200.10,201.23,200.30,27838300
2025-01-31,202.00,205.48,201.80,204.02,203.08,32001100
2025-01-30,198.00,201.40,197.67,200.87,199.95,24354700
2025-01-29,195.56,196.79,193.43,195.41,194.51,18218300
2025-01-28,192.75,195.48,190.68,195.30,194.40,24157900
2025-01-27,192.41,196.88,190.73,191.81,190.93,41728900
2025-01-24,198.10,200.90,198.00,200.21,199.29,23877500
2025-01-23,198.14,200.30,195.20,197.98,197.07,26951400
2025-01-22,199.06,200.48,197.53,198.37,197.46,26200600
2025-01-21,199.07,202.29,197.87,198.05,197.14,29971300
2025-01-17,196.53,197.23,193.75,196.00,195.10,27735100
2025-01-16,194.14,195.48,192.81,192.91,192.02,17815400
2025-01-15,193.09,196.36,191.86,195.55,194.65,21776000
2025-01-14,191.24,191.98,188.31,189.66,188.79,17174900
2025-01-13,190.07,191.18,187.36,191.01,190.13,21823700
2025-01-10,194.30,196.52,190.31,192.04,191.16,26665200
2025-01-08,192.57,196.29,192.38,193.95,193.06,24864800
2025-01-07,197.11,201.00,194.60,195.49,194.59,26487200
2025-01-06,193.98,198.22,193.85,196.87,195.96,29563600
2025-01-03,191.37,193.21,189.98,191.79,190.91,18596200
2025-01-02,190.65,192.00,187.50,189.43,188.56,20370800
